"PCA1","PCA2","PCA3","PCA4","PCA5","UMAP1","UMAP2","cell_id"
-154.89,33.7764,20.3589,45.7761,12.5194,8.4084,-2.82116,"X564426"
-115.044,-30.9791,24.2951,20.8634,-28.2521,7.93953,-1.37873,"X756945"
-131.808,2.1424,31.1085,49.8309,-22.9924,8.29192,-2.5412,"X585688"
-140.695,-36.032,-22.5353,40.4394,5.28789,7.98417,-1.70739,"X183411"
-119.12,-30.6921,42.7138,45.5113,-44.5843,8.18792,-2.14722,"X474280"
-120.956,35.395,25.9936,60.1638,11.4875,8.42737,-2.77258,"X718644"
-145.003,-5.974,-8.44819,5.4329,22.3991,8.24461,-2.14381,"X411378"
-113.285,-42.1087,-27.4808,53.3767,-14.1781,7.82944,-1.30306,"X371027"
-125.065,12.9318,27.7954,60.8432,8.02821,8.34148,-2.77208,"X430472"
-111.105,-45.0276,-34.4369,11.7989,-3.73575,7.9286,-1.07913,"X304833"
-119.972,-31.7885,4.69503,43.5335,-6.18707,7.84245,-1.38063,"X729287"
-85.9726,4.03646,56.2663,22.8856,-29.2315,8.57033,-2.78167,"X543188"
-90.372,22.9962,21.572,12.0654,13.4852,9.51371,-2.82763,"X116843"
-113.065,0.260299,16.3398,41.1263,-5.83272,7.93945,-1.81562,"X626401"
-90.8488,20.4984,34.7359,6.19684,-14.3652,8.66059,-2.81067,"X864533"
-82.5102,-6.79017,-4.13265,-5.45016,6.25396,8.3185,-1.36524,"X408786"
-74.1468,24.0048,4.62192,-12.9185,27.0306,9.42942,-2.89671,"X269072"
-72.8876,36.6484,13.3171,-28.7901,6.14211,10.2749,-2.32367,"X704538"
-79.3405,-0.263988,1.9655,-26.9723,36.8299,8.34042,-2.02083,"X13553"
-90.1402,7.51492,-14.7631,72.9273,-48.1259,9.342,-2.37561,"X119620"
-99.1743,12.4679,21.6906,8.75817,-31.5789,8.47042,-1.84357,"X142031"
-80.9938,17.8422,11.0996,-15.7657,26.4238,9.38003,-2.82302,"X131630"
-73.9477,53.1699,-7.82403,11.8788,-11.0631,9.77342,-2.2421,"X81649"
-67.7329,30.6415,-6.27989,-16.9751,32.4088,10.9941,-2.73339,"X653805"
-59.9958,27.9667,-5.31625,-28.395,14.3151,10.377,-2.78343,"X212903"
-60.3612,-6.734,41.3805,2.36649,-41.5485,8.91334,-2.1701,"X257604"
-31.052,-42.1826,-27.9004,-15.782,-6.69849,8.13499,-0.633513,"X553717"
-47.2796,52.2065,-44.9575,-40.7227,-39.3549,13.1504,-3.13039,"X634078"
-72.9399,-33.7372,-25.1957,-23.5312,23.5743,8.71802,-0.83366,"X504924"
-73.9458,-24.1039,-15.2374,-37.4554,15.2196,8.97479,-1.37972,"X453751"
-62.2377,-20.5734,1.22109,-14.864,16.3573,9.47539,-2.15299,"X846196"
-31.7521,-48.7918,-2.17373,-30.5819,-9.6863,8.53999,-1.16293,"X711918"
-57.8654,-22.5483,1.69399,25.6486,-0.46754,8.63308,-1.42537,"X508816"
-51.3136,9.01363,4.11858,-25.3359,29.5971,9.6662,-2.58678,"X38747"
-57.881,53.6254,0.0869423,-40.2499,-4.49557,10.632,-2.9077,"X619572"
-57.4361,-59.1867,-23.3014,-16.5995,-11.462,8.41096,-0.629904,"X338409"
-68.5204,-13.259,8.3614,-37.4985,18.5644,8.66297,-1.3282,"X43422"
-51.8951,-12.7164,-12.3772,-28.1228,2.70101,8.57305,-1.82346,"X437402"
-66.2841,-4.02565,14.9837,0.297993,-4.36485,9.22204,-2.60589,"X12447"
-27.6769,27.6433,-7.64953,-24.205,-5.12553,9.92248,-2.92978,"X877576"
-63.5895,-78.5851,-23.9647,-5.81986,-5.69511,8.14052,-0.211715,"X635263"
-62.1977,18.1068,-3.74588,7.9841,46.4756,9.16666,-2.0697,"X368750"
-33.0676,72.1968,-52.5442,-29.4364,-51.9623,13.1879,-3.13883,"X621037"
-33.5999,13.8907,3.67829,-23.7634,-13.004,10.5745,-2.93232,"X593270"
-68.1112,34.7793,1.29202,-21.4104,35.4618,10.1222,-1.15611,"X438164"
-50.9468,21.0869,29.1402,47.0312,12.8367,8.74342,-2.27934,"X306977"
-36.9702,-9.54584,31.4877,-45.4931,7.91218,9.04953,-1.02124,"X85402"
-62.2358,-64.2376,-54.5991,-11.955,37.6335,8.40957,-0.0986815,"X451711"
-16.4167,0.215561,-16.2583,-22.1852,10.7259,9.85682,-2.22168,"X254277"
-68.8302,8.25025,30.0528,17.2361,-50.4477,8.7486,-2.68952,"X657505"
-36.6526,3.03937,28.3812,-30.7309,2.78218,9.67749,-1.63889,"X69952"
-47.029,-30.3621,-23.3486,-30.2709,-5.19882,9.75838,-1.42462,"X26693"
-50.6126,2.80219,17.7337,16.8456,-33.0358,9.25937,-1.74799,"X867044"
-32.9827,21.6671,5.57099,-38.1482,8.59115,9.83507,-2.29659,"X808381"
-40.1843,-31.6496,22.6083,-4.93139,-9.01363,9.40352,-0.633193,"X624847"
-44.2188,-44.2484,-32.0342,-35.792,2.02085,8.11172,-0.640122,"X851649"
-44.4146,-15.65,-15.5514,-41.8057,3.80258,8.55824,-0.901659,"X629154"
-44.0453,-40.9946,-3.95407,-36.5389,-7.6835,8.86411,-1.18697,"X264261"
-71.2875,-25.1676,3.51331,-15.1198,13.4235,8.87623,-1.17158,"X276298"
-25.5715,48.3282,-21.4816,-15.3779,-5.14567,12.1868,-2.64392,"X729720"
-14.6219,-57.6548,-50.1148,-9.20976,15.1791,8.0098,0.382798,"X730315"
-14.353,-15.7675,34.3348,0.692856,-7.51206,9.02409,-1.58219,"X471063"
-38.7866,-6.37398,1.60566,-16.4673,-4.49511,10.151,-2.02582,"X314963"
-39.3601,-35.3349,0.877415,9.33023,41.1888,8.88269,-0.332144,"X221822"
-30.7536,35.9025,-40.4354,-18.6293,-18.1089,13.1059,-2.60164,"X246861"
-46.6874,-27.7656,-31.2134,-37.4197,30.787,8.74208,-0.827992,"X755446"
-28.6857,7.27753,19.3122,-23.3431,-13.1406,10.5286,-2.05774,"X620607"
-30.5805,-1.73664,1.16698,-49.2067,-4.92066,9.60596,-0.344162,"X576938"
-15.8431,33.0182,17.3231,19.9757,9.69533,11.8149,-0.949881,"X20774"
-26.1724,50.1031,-37.5671,-10.3917,5.79563,13.0184,-2.85535,"X154558"
-15.6327,10.9606,20.0154,-8.67669,-13.8041,11.6427,-2.53407,"X52203"
-26.9787,58.1034,-44.645,12.0753,-13.1071,12.9141,-2.35918,"X257700"
-11.2522,28.7258,7.48946,-30.5277,11.1241,10.3652,-2.18776,"X795061"
-23.5373,-30.363,44.8779,36.8628,-30.3323,8.50856,-1.32758,"X749509"
-24.2267,-23.4123,15.7578,-18.4322,14.6632,8.98955,-0.775008,"X46444"
-5.47213,1.37982,37.7274,-33.3818,-0.460265,10.0538,-2.60126,"X374585"
-23.8909,30.8843,-32.007,-12.8367,-39.1823,12.9696,-2.6159,"X116787"
-25.2178,24.7234,4.13706,-37.316,27.0688,10.6975,-1.10769,"X182898"
-19.0895,2.86696,-36.4766,-9.79841,45.739,9.83798,0.106655,"X512587"
-8.07685,-20.3096,16.0376,-29.5034,-21.5408,9.22628,-1.58176,"X468657"
-25.7587,37.2725,-2.99878,-30.3267,6.06056,11.4649,-2.95537,"X427143"
-4.52808,10.7341,1.58633,-25.395,-19.178,11.7334,-2.42663,"X804231"
-26.5729,17.6638,18.2579,-35.627,19.9811,9.97185,-2.56598,"X13663"
-30.6403,6.61299,-0.50441,-17.2477,44.2196,10.9772,-1.78454,"X574730"
-16.9546,41.8256,-41.1147,16.817,9.05297,13.1654,-2.26434,"X512981"
-20.3239,34.1012,-12.658,-34.4884,-14.9775,10.3517,-1.47052,"X192563"
-27.0061,-23.0749,19.3791,-18.6118,-2.78766,9.56202,-1.18568,"X543123"
-42.1896,-45.5096,-35.885,-19.9872,30.4836,8.27307,0.252317,"X48604"
-0.0505543,44.7019,19.2713,-0.122264,-5.15081,12.1778,-2.01051,"X183794"
-2.5947,12.363,11.9653,-18.8544,13.0083,11.0677,-2.79859,"X267519"
-14.2722,34.0005,-11.8874,-15.9236,-6.51214,12.0425,-2.7103,"X105845"
-20.5735,31.1407,-7.38367,-21.3034,30.83,10.6373,-1.64714,"X852142"
-15.645,-10.4015,-18.0979,-19.046,-17.1826,9.81238,-0.577693,"X89812"
-7.19404,51.1356,-55.2174,9.27148,-20.9321,13.2576,-2.82845,"X306197"
-19.0856,-45.741,10.4382,-14.3235,-3.88207,8.92025,-0.777571,"X216738"
-3.42129,16.4785,-8.81503,2.86548,40.9237,11.6084,-1.46423,"X50847"
-24.6374,-13.2918,-17.783,-18.992,1.0961,7.93201,-0.0330246,"X333132"
-22.5902,-9.25107,12.4155,-33.0164,-20.3191,10.3168,-1.95069,"X463689"
-4.73432,-14.8244,32.3848,-31.1697,-2.91071,9.60134,-1.7167,"X48316"
-25.6005,35.7935,14.2585,-15.4796,-26.7069,11.6392,-2.62305,"X212750"
-28.5426,14.4547,23.703,-20.8147,18.5522,10.335,-0.968444,"X698036"
-38.1551,-32.2766,-0.462788,-19.2229,6.86522,8.89594,-0.684063,"X162389"
