EntrezGene.ID,HGNC.symbol,MGI.symbol,MGI.ID
1,A1BG,A1bg,MGI:2152878
29974,A1CF,A1cf,MGI:1917115
2,A2M,A2m,MGI:2449119
127550,A3GALT2,A3galt2,MGI:2685279
53947,A4GALT,A4galt,MGI:3512453
51146,A4GNT,A4gnt,MGI:2143261
8086,AAAS,Aaas,MGI:2443767
65985,AACS,Aacs,MGI:1926144
13,AADAC,Aadac,MGI:1915008
344752,AADACL2,Aadacl2,MGI:3646333
126767,AADACL3,Aadacl3,MGI:2685281
343066,AADACL4,Aadacl4,MGI:3650257
51166,AADAT,Aadat,MGI:1345167
79719,AAGAB,Aagab,MGI:1914189
22848,AAK1,Aak1,MGI:1098687
28971,AAMDC,Aamdc,MGI:1913523
14,AAMP,Aamp,MGI:107809
15,AANAT,Aanat,MGI:1328365
25980,AAR2,Aar2,MGI:1915545
441376,AARD,Aard,MGI:2181621
16,AARS1,Aars,MGI:2384560
57505,AARS2,Aars2,MGI:2681839
80755,AARSD1,Aarsd1,MGI:1916934
132949,AASDH,Aasdh,MGI:2442517
60496,AASDHPPT,Aasdhppt,MGI:1914868
10157,AASS,Aass,MGI:1353573
26574,AATF,Aatf,MGI:1929608
9625,AATK,Aatk,MGI:1197518
18,ABAT,Abat,MGI:2443582
19,ABCA1,Abca1,MGI:99607
26154,ABCA12,Abca12,MGI:2676312
154664,ABCA13,Abca13,MGI:2388707
20,ABCA2,Abca2,MGI:99606
21,ABCA3,Abca3,MGI:1351617
24,ABCA4,Abca4,MGI:109424
23461,ABCA5,Abca5,MGI:2386607
23460,ABCA6,Abca6,MGI:1923434
10347,ABCA7,Abca7,MGI:1351646
10351,ABCA8,Abca8b,MGI:1351668
10350,ABCA9,Abca9,MGI:2386796
5243,ABCB1,Abcb1a,MGI:97570
23456,ABCB10,Abcb10,MGI:1860508
8647,ABCB11,Abcb11,MGI:1351619
5244,ABCB4,Abcb4,MGI:97569
340273,ABCB5,Abcb5,MGI:1924956
10058,ABCB6,Abcb6,MGI:1921354
22,ABCB7,Abcb7,MGI:109533
11194,ABCB8,Abcb8,MGI:1351667
23457,ABCB9,Abcb9,MGI:1861729
4363,ABCC1,Abcc1,MGI:102676
89845,ABCC10,Abcc10,MGI:2386976
94160,ABCC12,Abcc12,MGI:2441679
1244,ABCC2,Abcc2,MGI:1352447
8714,ABCC3,Abcc3,MGI:1923658
10257,ABCC4,Abcc4,MGI:2443111
10057,ABCC5,Abcc5,MGI:1351644
368,ABCC6,Abcc6,MGI:1351634
6833,ABCC8,Abcc8,MGI:1352629
10060,ABCC9,Abcc9,MGI:1352630
215,ABCD1,Abcd1,MGI:1349215
225,ABCD2,Abcd2,MGI:1349467
5825,ABCD3,Abcd3,MGI:1349216
5826,ABCD4,Abcd4,MGI:1349217
6059,ABCE1,Abce1,MGI:1195458
23,ABCF1,Abcf1,MGI:1351658
10061,ABCF2,Abcf2,MGI:1351657
114483834,ABCF2-H2BK1,Abcf2,MGI:1351657
55324,ABCF3,Abcf3,MGI:1351656
9619,ABCG1,Abcg1,MGI:107704
9429,ABCG2,Abcg2,MGI:1347061
64137,ABCG4,Abcg4,MGI:1890594
64240,ABCG5,Abcg5,MGI:1351659
64241,ABCG8,Abcg8,MGI:1914720
84696,ABHD1,Abhd1,MGI:1931013
55347,ABHD10,Abhd10,MGI:2442422
83451,ABHD11,Abhd11,MGI:1916008
26090,ABHD12,Abhd12,MGI:1923442
145447,ABHD12B,Abhd12b,MGI:2685650
84945,ABHD13,Abhd13,MGI:1916154
25864,ABHD14A,Abhd14a,MGI:1915894
100526760,ABHD14A-ACY1,Acy1,MGI:87913
84836,ABHD14B,Abhd14b,MGI:1923741
116236,ABHD15,Abhd15,MGI:1914727
7920,ABHD16A,Abhd16a,MGI:99476
140701,ABHD16B,Abhd16b,MGI:3607711
81926,ABHD17A,Abhd17a,MGI:106388
51104,ABHD17B,Abhd17b,MGI:1917816
58489,ABHD17C,Abhd17c,MGI:1917428
80167,ABHD18,Abhd18,MGI:1915468
11057,ABHD2,Abhd2,MGI:1914344
171586,ABHD3,Abhd3,MGI:2147183
63874,ABHD4,Abhd4,MGI:1915938
51099,ABHD5,Abhd5,MGI:1914719
57406,ABHD6,Abhd6,MGI:1913332
79575,ABHD8,Abhd8,MGI:1918946
10006,ABI1,Abi1,MGI:104913
10152,ABI2,Abi2,MGI:106913
51225,ABI3,Abi3,MGI:1913860
25890,ABI3BP,Abi3bp,MGI:2444583
54942,ABITRAM,Abitram,MGI:2677850
25,ABL1,Abl1,MGI:87859
27,ABL2,Abl2,MGI:87860
3983,ABLIM1,Ablim1,MGI:1194500
84448,ABLIM2,Ablim2,MGI:2385758
22885,ABLIM3,Ablim3,MGI:2442582
28,ABO,Abo,MGI:2135738
29,ABR,Abr,MGI:107771
137735,ABRA,Abra,MGI:2444891
58527,ABRACL,Abracl,MGI:1920362
84142,ABRAXAS1,Abraxas1,MGI:1917931
23172,ABRAXAS2,Abraxas2,MGI:1926116
29777,ABT1,Abt1,MGI:1353636
80325,ABTB1,Abtb1,MGI:1933148
25841,ABTB2,Abtb2,MGI:2139365
30,ACAA1,Acaa1a,MGI:2148491
10449,ACAA2,Acaa2,MGI:1098623
31,ACACA,Acaca,MGI:108451
32,ACACB,Acacb,MGI:2140940
80724,ACAD10,Acad10,MGI:1919235
84129,ACAD11,Acad11,MGI:2143169
27034,ACAD8,Acad8,MGI:1914198
28976,ACAD9,Acad9,MGI:1914272
33,ACADL,Acadl,MGI:87866
34,ACADM,Acadm,MGI:87867
35,ACADS,Acads,MGI:87868
36,ACADSB,Acadsb,MGI:1914135
37,ACADVL,Acadvl,MGI:895149
